timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650707400810,392,Open registration page Request-0,302,Found,Thread Group of 300 users 3-59,text,true,,227,126,3,4,http://blazedemo.com/register,392,0,61
1650707401203,769,Open registration page Request-1,200,OK,Thread Group of 300 users 3-59,text,true,,6178,126,3,4,https://blazedemo.com/register,758,0,192
1650707401429,767,Perform registration,200,OK,Thread Group of 300 users 3-58,text,true,,6397,518,3,4,https://blazedemo.com/register,325,0,0
1650707401429,325,Perform registration-0,302,Found,Thread Group of 300 users 3-58,text,true,,227,392,3,4,http://blazedemo.com/register,325,0,0
1650707401754,442,Perform registration-1,200,OK,Thread Group of 300 users 3-58,text,true,,6170,126,3,4,https://blazedemo.com/register,429,0,0
1650707401589,764,Login,200,OK,Thread Group of 100 users 1-20,text,true,,5794,403,1,4,https://blazedemo.com/login,318,0,0
1650707401589,318,Login-0,302,Found,Thread Group of 100 users 1-20,text,true,,224,280,1,4,http://blazedemo.com/login,318,0,0
1650707401907,446,Login-1,200,OK,Thread Group of 100 users 1-20,text,true,,5570,123,1,4,https://blazedemo.com/login,439,0,0
1650707401972,770,Perform registration,200,OK,Thread Group of 300 users 3-59,text,true,,6401,518,3,3,https://blazedemo.com/register,325,0,0
1650707401972,325,Perform registration-0,302,Found,Thread Group of 300 users 3-59,text,true,,227,392,3,3,http://blazedemo.com/register,325,0,0
1650707402297,445,Perform registration-1,200,OK,Thread Group of 300 users 3-59,text,true,,6174,126,3,3,https://blazedemo.com/register,431,0,0
1650707401809,1035,Open registration page Request,200,OK,Thread Group of 300 users 3-60,text,true,,6397,252,4,5,https://blazedemo.com/register,381,0,61
1650707401809,381,Open registration page Request-0,302,Found,Thread Group of 300 users 3-60,text,true,,227,126,4,5,http://blazedemo.com/register,381,0,61
1650707402191,653,Open registration page Request-1,200,OK,Thread Group of 300 users 3-60,text,true,,6170,126,4,5,https://blazedemo.com/register,643,0,216
1650707402196,765,Login,200,OK,Thread Group of 300 users 3-58,text,true,,5792,403,4,5,https://blazedemo.com/login,317,0,0
1650707402196,317,Login-0,302,Found,Thread Group of 300 users 3-58,text,true,,224,280,4,5,http://blazedemo.com/login,317,0,0
1650707402513,448,Login-1,200,OK,Thread Group of 300 users 3-58,text,true,,5568,123,4,5,https://blazedemo.com/login,435,0,0
1650707402742,773,Login,200,OK,Thread Group of 300 users 3-59,text,true,,5798,403,3,4,https://blazedemo.com/login,322,0,0
1650707402742,322,Login-0,302,Found,Thread Group of 300 users 3-59,text,true,,224,280,3,4,http://blazedemo.com/login,322,0,0
1650707403063,452,Login-1,200,OK,Thread Group of 300 users 3-59,text,true,,5574,123,3,4,https://blazedemo.com/login,439,0,0
1650707402843,754,Perform registration,200,OK,Thread Group of 300 users 3-60,text,true,,6399,518,2,3,https://blazedemo.com/register,317,0,0
1650707402843,317,Perform registration-0,302,Found,Thread Group of 300 users 3-60,text,true,,227,392,2,3,http://blazedemo.com/register,317,0,0
1650707403160,437,Perform registration-1,200,OK,Thread Group of 300 users 3-60,text,true,,6172,126,2,3,https://blazedemo.com/register,430,0,0
1650707402752,1057,Open registration page Request,200,OK,Thread Group of 100 users 1-21,text,true,,6399,252,1,4,https://blazedemo.com/register,385,0,58
1650707402752,385,Open registration page Request-0,302,Found,Thread Group of 100 users 1-21,text,true,,227,126,1,4,http://blazedemo.com/register,385,0,58
1650707403137,672,Open registration page Request-1,200,OK,Thread Group of 100 users 1-21,text,true,,6172,126,1,4,https://blazedemo.com/register,659,0,204
1650707402810,1018,Open registration page Request,200,OK,Thread Group of 300 users 3-61,text,true,,6399,252,3,4,https://blazedemo.com/register,381,0,61
1650707402810,381,Open registration page Request-0,302,Found,Thread Group of 300 users 3-61,text,true,,227,126,3,4,http://blazedemo.com/register,381,0,61
1650707403191,637,Open registration page Request-1,200,OK,Thread Group of 300 users 3-61,text,true,,6172,126,3,4,https://blazedemo.com/register,628,0,195
1650707403597,774,Login,200,OK,Thread Group of 300 users 3-60,text,true,,5798,403,3,4,https://blazedemo.com/login,321,0,0
1650707403597,321,Login-0,302,Found,Thread Group of 300 users 3-60,text,true,,224,280,3,4,http://blazedemo.com/login,321,0,0
1650707403918,453,Login-1,200,OK,Thread Group of 300 users 3-60,text,true,,5574,123,3,4,https://blazedemo.com/login,440,0,0
1650707403809,815,Perform registration,200,OK,Thread Group of 100 users 1-21,text,true,,6397,518,1,3,https://blazedemo.com/register,310,0,0
1650707403809,310,Perform registration-0,302,Found,Thread Group of 100 users 1-21,text,true,,227,392,1,3,http://blazedemo.com/register,310,0,0
